q,expect_q,nn_sim_q,nn_stan_q,nn_score,sm_sim_q,sm_stan_q,sm_score,new_stan_q
买 商品 送 架子,赠品配送问题,买 商品 外机 送 错 怎么,商品送错或漏送怎么办,1.0,我 买 商品 问时间 送,查询送货,0.58,查询送货
你 有 能 任性贷,有哪些支付方式,你 有 任性贷 业务,任性贷是什么,1.0,你 有 任性贷 业务,任性贷是什么,0.6,任性贷是什么
由于 下雪 没有 物流 我 能 退换货,申请退换货,我 货 退换货 没有,咨询退换货进度,1.0,我 退换货 怎么 没有 安排 物流,一直未取货怎么办,0.61,一直未取货怎么办
现在 拍 问时间 能 发货,什么时候送,现在 拍 问时间 发货,下单多久发货,1.0,现在 拍 问时间 发货,下单多久发货,0.91,下单多久发货
货 送来 是 安装,怎么预约安装,是 货 到 安装,送货安装是否同步进行,1.0,是 货 到 安装,送货安装是否同步进行,0.69,送货安装是否同步进行
尾款 问时间 支付,怎么支付尾款,问时间 支付 尾款 问时间 发货,下单多久发货,1.0,支付 尾款 问时间 能到,什么时候送,0.77,什么时候送
买 完 问时间 安装,怎么预约安装,买 完 没有 安装 降,怎么申请价保,1.0,问时间 买 问时间 物流 安装,什么时候送,0.66,什么时候送
不是 有 券 问地点 领,有没有活动，价格能优惠吗,券 问地点 领,在哪里领券,1.0,券 问地点 领,在哪里领券,0.8,在哪里领券
现在 拍 问时间 发货,什么时候送,现在 拍 问时间 发货,下单多久发货,1.0,现在 拍 问时间 发货,下单多久发货,1.0,下单多久发货
商品 是 苏宁 保修,保修期是多久,苏宁 自营 保修 政策 是 怎么,如何预约维修,1.0,苏宁 保修 一年,如何预约维修,0.58,如何预约维修
问时间 能 到货,无货商品何时到货,南京 问时间 能 到货,什么时候送,1.0,问时间 问时间 能 到货,什么时候送,0.85,什么时候送
商品 能 除湿,商品的功能及包装参数,商品 能 买 几台,可以买多少,0.0,商品 能 买 几台,可以买多少,0.47,可以买多少
你 是 免费 安装,安装如何收费,你 免费 安装 是 骗人,安装乱收费怎么办,1.0,你 免费 安装 是 骗人,安装乱收费怎么办,0.91,安装乱收费怎么办
安装 要 加 价格,怎么预约安装,安装 工具 要 另外 加 价格,安装如何收费,1.0,安装 工具 要 另外 加 价格,安装如何收费,0.82,安装如何收费
商品 质保 几年,保修期是多久,美的 商品 质保 问时间,商品的功能及包装参数,1.0,美的 商品 质保 问时间,商品的功能及包装参数,0.48,商品的功能及包装参数
几点 到,查询送货动态,几点 到,什么时候送,1.0,几点 到,什么时候送,1.0,什么时候送
有 电子发票,顾客下单无电子发票选项，怎么申请？,电子发票 问时间 才 有,电子发票怎么下载（无下载按钮怎么办）,1.0,电子发票,电子发票怎么下载（无下载按钮怎么办）,0.68,电子发票怎么下载（无下载按钮怎么办）
我 安装 是 免费 还是 收费,安装如何收费,免费 安装 怎么 收费,安装乱收费怎么办,1.0,免费 安装 怎么 收费,安装乱收费怎么办,0.76,安装乱收费怎么办
商品 怎么 还不 来 安装,怎么预约安装,怎么 还不 来 安装,安装为什么一直没来呢,1.0,怎么 还不 来 安装,安装为什么一直没来呢,0.79,安装为什么一直没来呢
是 全国联保 撒,商品是正品么,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.62,有保修服务吗
商品 问时间 送 到 问时间 来 安装,怎么预约安装,商品 送 到 怎么 没有 人 和 着 来 安装,送货安装是否同步进行,1.0,商品 送 到 问时间 安装,什么时候上门安装,0.85,什么时候上门安装
有 全国联保,商品是正品么,你 是 全国联保,有保修服务吗,1.0,你 是 全国联保,有保修服务吗,0.43,有保修服务吗
问时间 负责 换,申请退换货,是否 问时间 负责 换,商品是30天退货，365天换货吗,1.0,问时间 负责 换,商品是30天退货，365天换货吗,1.0,商品是30天退货，365天换货吗
去 店 买 价格 一样,苏宁易购和苏宁门店价格一样吗？,商品 店 价格 一样,门店与线上活动是否一样,1.0,要是 去 店 买 和 在 app 买 价格 是 一样 的么,门店与线上活动是否一样,0.67,门店与线上活动是否一样
不能 当 天安 装,怎么预约安装,气垫 送 备用 装,赠品配送问题,1.0,我 装 行 不能,可以自行安装吗,0.51,可以自行安装吗
尾款 问时间 支付,怎么支付尾款,问时间 支付 尾款 问时间 发货,下单多久发货,1.0,支付 尾款 问时间 能到,什么时候送,0.77,什么时候送
能 上门 安装,提供安装服务吗,能 上门 安装,怎么预约安装,1.0,能 上门 安装,怎么预约安装,1.0,怎么预约安装
问时间 买 问时间 能 物流,什么时候送,买 东西 能否 问时间 物流,怎么更改送货时间,1.0,买 东西 能否 问时间 物流,怎么更改送货时间,0.79,怎么更改送货时间
安装 另 取 价格,怎么预约安装,售后 保修 要 另 外交 价格,维修怎么收费,1.0,安装 价格,安装如何收费,0.64,安装如何收费
问时间 能 有货,无货商品何时到货,问时间 能 有货,商品是否有货,1.0,问时间 能 有货,商品是否有货,1.0,商品是否有货
苏宁 不能用 支付宝,支付宝可以支付吗,能 不能用 支付宝,有哪些支付方式,1.0,能 不能用 支付宝,有哪些支付方式,0.62,有哪些支付方式
我 要 退换货 一份,申请退换货,我 要 退换货,申请换货,1.0,我 要 退换货,申请换货,0.82,申请换货
满 199元 降 60 有,有没有活动，价格能优惠吗,买 满 怎么 没有 降,为什么参加满减没有减少,1.0,满 100 降 50 满 怎么 没有 降,为什么参加满减没有减少,0.65,为什么参加满减没有减少
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
送 东西 都 有货,赠品配送问题,店 都 有货,门店有货吗？,1.0,送 东西 不对,商品送错或漏送怎么办,0.48,商品送错或漏送怎么办
赠品 都 有货,赠品配送问题,店 有货 有 赠品,门店与线上活动是否一样,1.0,店 有货 有 赠品,门店与线上活动是否一样,0.61,门店与线上活动是否一样
我 都 没有 到 为什么 现实 是 签收,买家没有签收但物流跟踪显示已签收，怎么办？,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,1.0,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,0.54,为什么未收货却显示送货完成了
怎么 没有 到,查询送货动态,没有 按时 到 怎么,为什么还没送到,1.0,没有 按时 到 怎么,为什么还没送到,0.77,为什么还没送到
怎么 找 你 售后,申请售后,找 售后 是否 找 你 苏宁,如何预约维修,1.0,找 售后 是否 找 你 苏宁,如何预约维修,0.72,如何预约维修
物流 问时间 到,查询送货动态,我 物流 问时间 到,什么时候送,1.0,我 物流 问时间 到,什么时候送,0.85,什么时候送
是 问地点 发货,下单多久发货,商家 是 问地点 发货,从哪里发货,1.0,是 问地点 发货,从哪里发货,1.0,从哪里发货
支付宝 不能 买,支付宝可以支付吗,app 怎么 不能 支付宝 买,支持支付宝或微信支付吗,1.0,app 怎么 不能 支付宝 买,支持支付宝或微信支付吗,0.77,支持支付宝或微信支付吗
我 在 广东 能 物流,是送货上门吗,为什么 现在 说 在 广东,为什么还没送到,1.0,不 在 家 能 更改 时 物流,怎么更改送货时间,0.58,怎么更改送货时间
到 呼和浩特市 问时间,查询送货动态,买 到 手机 到 问时间,什么时候送,1.0,问时间 到,什么时候送,0.77,什么时候送
我 看 红色 缺货 问时间 有,无货商品何时到货,缺货 问时间 有货,商品是否有货,1.0,固收 理财 问时间 有 我 看 没有,苏宁理财，定期理财固收和票据没有可以买的了,0.47,苏宁理财，定期理财固收和票据没有可以买的了
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
我们 买 洗发水 不是 送 小样,赠品配送问题,怎么 送 不是 我 买,商品送错或漏送怎么办,1.0,怎么 送 不是 我 买,商品送错或漏送怎么办,0.45,商品送错或漏送怎么办
买 两件 是 送 两个 沐浴露,赠品配送问题,买 两件 怎么 只 送 一件,商品送错或漏送怎么办,1.0,买 两件 怎么 只 送 一件,商品送错或漏送怎么办,0.46,商品送错或漏送怎么办
我 是 苏宁,商品是自营的么,苏宁 互联 是 苏宁 我,苏宁互联是苏宁自己的吗,1.0,苏宁 互联 是 苏宁 我,苏宁互联是苏宁自己的吗,0.64,苏宁互联是苏宁自己的吗
评价 晒图 有 赠品,赠品配送问题,评价 有 赠品,评价有什么奖励,1.0,评价 有 赠品,评价有什么奖励,0.88,评价有什么奖励
问时间 能 发货,下单多久发货,问时间 能 安排 发货,什么时候送,1.0,问时间 能 发货,什么时候送,1.0,什么时候送
订单 查 不到 买 信息,物流单号查不到信息怎么办,订单 信息 怎么 查,怎么查询订单,1.0,订单 信息 怎么 查,怎么查询订单,0.58,怎么查询订单
能 用 券,无敌券可以买什么,股东 券 怎么 用,股东券怎么使用,1.0,有 券,在哪里领券,0.54,在哪里领券
问时间 发货,下单多久发货,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
为什么 没有 到,什么时候送,为什么 没有 到,为什么还没送到,1.0,为什么 没有 到,为什么还没送到,1.0,为什么还没送到
我 没有 到 为什么 签收,买家没有签收但物流跟踪显示已签收，怎么办？,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,1.0,我 没有 到 物流 为什么 说 签收,为什么未收货却显示送货完成了,0.7,为什么未收货却显示送货完成了
麻烦 退款,退款什么时候到账,麻烦 同意 退款,咨询退换货进度,1.0,麻烦 同意 退款,咨询退换货进度,0.77,咨询退换货进度
没有 发货,下单多久发货,你 没有 发货,什么时候送,1.0,发货 没有,查询送货,1.0,查询送货
我 在 买 一件 是 半价,商品价格多少钱,7.10号 是 半价,有没有活动，价格能优惠吗,1.0,买二付一 是否 我 买 一件 你 在 送给 我 一件,什么是买二付一,0.47,什么是买二付一
我 物流 问时间 到,查询送货动态,我 物流 问时间 到,什么时候送,1.0,我 物流 问时间 到,什么时候送,1.0,什么时候送
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
没有 发票,怎么开发票,没有 发票,怎么没有发票,1.0,没有 发票,怎么没有发票,1.0,怎么没有发票
孕妇 用,商品的功能及包装参数,用 圆通,送货用什么快递,1.0,用 天天,送货用什么快递,0.43,送货用什么快递
什么 颜色,商品的功能及包装参数,魅族pro5 什么 颜色 有货,商品是否有货,1.0,魅族pro5 什么 颜色 有货,商品是否有货,0.47,商品是否有货
扫码 是 能 微信 支付,微信可以支付吗,能 扫码 支付,有哪些支付方式,1.0,微信 能 支付,支持支付宝或微信支付吗,0.66,支持支付宝或微信支付吗
东西 到 但是 没有 礼品,赠品配送问题,东西 到 没有 发票,怎么没有发票,1.0,我 买 东西 没有 到,为什么还没送到,0.49,为什么还没送到
怎么 免运费,运费多少,怎么 免运费,运费券怎么领取,1.0,怎么 免运费,运费券怎么领取,1.0,运费券怎么领取
孕妇 用,商品的功能及包装参数,用 圆通,送货用什么快递,1.0,用 天天,送货用什么快递,0.43,送货用什么快递
优惠,有没有活动，价格能优惠吗,优惠 开始,活动什么时候开始,1.0,818 优惠,苏宁818整体活动,0.7,苏宁818整体活动
我 找 售后,申请售后,售后 找 谁,如何预约维修,1.0,售后 找 谁,如何预约维修,0.77,如何预约维修
我 赠品 券 怎么 用,券怎么使用,股东 券 怎么 用,股东券怎么使用,1.0,我 用 券 用不了 怎么,券怎么不能使用,0.69,券怎么不能使用
面膜 材质 是什么,商品的功能及包装参数,面膜 过敏 退换货,申请退换货,1.0,金装 是什么 材质,铂金装和银装有什么区别,0.61,铂金装和银装有什么区别
能 查 物流,查询送货动态,能 帮忙 查 物流,查询送货,1.0,能 帮忙 查 物流,查询送货,0.88,查询送货
问时间 有货,无货商品何时到货,问时间 有货,商品是否有货,1.0,问时间 有货,商品是否有货,1.0,商品是否有货
怎么 缺货,无货商品何时到货,怎么 缺货,怎么提示没有货,1.0,怎么 缺货,怎么提示没有货,1.0,怎么提示没有货
我 货 没收到,查询送货动态,我 货 怎么 没收到,为什么还没送到,1.0,我 货 怎么 没收到,为什么还没送到,0.84,为什么还没送到
是 多少 毫升,商品的功能及包装参数,你的 身高 是 多少,你的身高是多少,1.0,人工客服 是 多少,转人工,0.64,转人工
问时间 发货,下单多久发货,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
问时间 发货,查询送货动态,问时间 发货,什么时候送,1.0,问时间 发货,什么时候送,1.0,什么时候送
我 东西 为什么 没有 发货,为什么还没送到,买 东西 怎么 没有 发货,查询送货,1.0,为什么 没有 发货,什么时候送,0.69,什么时候送
说 到 价格 108 为什么 价格 是 128元,商品价格多少钱,我 价格 进去 为什么 说 没有,任性贷还款了为什么还是显示逾期,1.0,为什么 要 价格 时 说 是 周 三 到,什么时候送,0.53,什么时候送
拼团 能 取消 不,更改拼团状态,拼团 能 取消,乐拼购可以申请退货么,1.0,拼团 能 取消,乐拼购可以申请退货么,0.99,乐拼购可以申请退货么
买 可乐 故障,申请售后,我 买 商品 故障,如何预约维修,1.0,买 车子 一个月 故障,如何预约维修,0.54,如何预约维修
看下 订单 没有 拼 成 能 退款,乐拼购可以申请退货么,订单 能 更改 成 货到付款,支付方式是否可以修改,1.0,看下 订单 支付 价格 怎么 没有 退款,退款什么时候到账,0.5,退款什么时候到账
缺货 问时间 能 到货,无货商品何时到货,缺货 商品 问时间 能 到货,商品是否有货,1.0,缺货 商品 问时间 能 到货,商品是否有货,0.88,商品是否有货
不免 运费,运费多少,运费,怎么退运费,1.0,运费,怎么退运费,0.82,怎么退运费
买 问时间 物流,下单多久发货,问时间 买 问时间 物流 安装,什么时候送,1.0,现在 买 问时间 物流,什么时候送,0.87,什么时候送
有 内存卡 没有,商品的功能及包装参数,有 手机 内存卡 销售,帮我推荐下手机、配件,1.0,有 手机 内存卡 销售,帮我推荐下手机、配件,0.41,帮我推荐下手机、配件
能 微信 支付,微信可以支付吗,能 支付宝 微信 支付,支持支付宝或微信支付吗,1.0,微信 能 支付,支持支付宝或微信支付吗,1.0,支持支付宝或微信支付吗
我 买 商品 怎么 没有 发货,为什么还没送到,我 买 商品 发货,查询送货,1.0,我 买 商品 发货,查询送货,0.79,查询送货
订单 确认 到 申请 售后 问地点,申请售后,问地点 申请 售后,如何预约维修,1.0,问地点 申请 售后,如何预约维修,0.64,如何预约维修
我 买 海信 商品 安装 时 旧 海信 商品 师傅 能 免费 帮忙 拆 下,拆机/移机如何收费,我 买 海信 商品 安装 是 免费,安装如何收费,1.0,我 买 海信 商品 安装 是 免费,安装如何收费,0.48,安装如何收费
退换货,申请退换货,退换货,申请换货,1.0,退换货,申请换货,1.0,申请换货
是 24小时 内 安装,怎么预约安装,是 24小时 内 支付 有效,支付有时间限制吗,1.0,不是 24小时 极 速 安装,24H极速装什么意思,0.51,24H极速装什么意思
苏宁 价格 比 线上 便宜 全国联保,有保修服务吗,天猫 苏宁 和 苏宁 苏宁 商品 都是 全国联保,苏宁自营跟天猫苏宁有何区别,1.0,会 比 6098 便宜,有没有活动，价格能优惠吗,0.48,有没有活动，价格能优惠吗
能 补发 普通 发票,发票不见了能补打吗,到货 没有 发票 是 补发,怎么没有发票,1.0,普通 发票 能 报销,普通发票是什么样的,0.79,普通发票是什么样的
山西 翼城县 有 店,怎么查门店的地址电话,我 在 山西 朔州 是 从 太原 发货,从哪里发货,1.0,店 有,门店有货吗？,0.77,门店有货吗？
我 没有 到 你 便宜,怎么申请价保,为什么 没有 到 你 赠品,赠品配送问题,1.0,你 不 便宜,有没有活动，价格能优惠吗,0.68,有没有活动，价格能优惠吗
买 负责 安装,怎么预约安装,负责 安装,提供安装服务吗,1.0,负责 安装,提供安装服务吗,0.73,提供安装服务吗
支付 完 价格 怎么 找 不到 订单,怎么查询订单,订单 支付 完 找 不 到,支付了为什么订单不显示,1.0,订单 支付 完 找 不 到,支付了为什么订单不显示,0.57,支付了为什么订单不显示
退换货 要 上门 取件,退换货是要邮寄还是上门取件,退换货 上门 取件,咨询退换货进度,1.0,退换货 上门 取件,咨询退换货进度,0.91,咨询退换货进度
发票 信息 填 错 怎么,发票信息是否可以更改,怎么 填 发票 信息,如何设置发票信息,1.0,怎么 填 发票 信息,如何设置发票信息,0.83,如何设置发票信息
商品 不 制冷,售后维保地址电话,商品 不 制冷,申请售后,1.0,商品 不 制冷,申请售后,1.0,申请售后
现在 买 能 问时间 送,下单多久发货,我 现在 没有 时 能 问时间 送,怎么更改送货时间,1.0,问时间 买 问时间 送,什么时候送,0.77,什么时候送
怎么 领 99 降 10 券,在哪里领券,满 99 降 30 怎么 弄,满减活动怎么参加,1.0,新手 领 15 券 怎么 看不到,已经实名认证，为什么没有返券,0.67,已经实名认证，为什么没有返券
新 买 没有 问时间 商品 不 制冷,售后维保地址电话,商品 不 制冷 怎么,空调不制冷怎么办？,1.0,商品 不 制冷,申请售后,0.48,申请售后
要 江门 万达 苏宁 苏宁 联系,怎么查门店的地址电话,我 要 苏宁 联系,苏宁客服电话是多少,1.0,我 要 苏宁 联系,苏宁客服电话是多少,0.69,苏宁客服电话是多少
奥普浴 霸 预售 问时间 能 到货,无货商品何时到货,预计 问时间 能 到货,什么时候送,1.0,问时间 问时间 能 到货,什么时候送,0.54,什么时候送
易购账号 不想要,注销易付宝账号,怎么 注册 苏宁 易购账号,怎么注册登录易购账户,1.0,买 商品 不想要,申请退换货,0.42,申请退换货
发票 问时间 能 开,怎么开发票,发票 问时间 能 开,怎么没有发票,1.0,发票 问时间 能 开,怎么没有发票,1.0,怎么没有发票
我 在 手机上 能 支付,有哪些支付方式,我 能 机器 在 决定 要不要 支付,可以验货后再付款吗,1.0,我 在 手机上 能 删除 订单,怎么删除订单,0.5,怎么删除订单
问地点 自提,在哪里自提,问地点 自提,怎么自提,1.0,问地点 自提,怎么自提,1.0,怎么自提
物流 要 快点,为什么还没送到,自提 是否 快点,自提和配送哪个快,1.0,要 物流,送货用什么快递,0.76,送货用什么快递
发票 信息 开 错,发票信息是否可以更改,发票 开 错 怎么,发票不清晰、开错发票怎么办,1.0,发票 开 错 怎么,发票不清晰、开错发票怎么办,0.75,发票不清晰、开错发票怎么办
能 查到 物流 联系,查询送货动态,你 能 查到 物流 订单号,查询送货,1.0,能 我 联系 再 物流,怎么更改送货时间,0.66,怎么更改送货时间
不能 取消 拼 单,更改拼团状态,能 取消 退换货 单,撤回退换货申请,1.0,不能 拼 单,为什么拼团失败,0.69,为什么拼团失败
一箱 多少 水果,商品的功能及包装参数,有 一箱 从 牛奶 和 洗洁精 漏 流出 到,商品送错或漏送怎么办,1.0,最低价 多少,有没有活动，价格能优惠吗,0.42,有没有活动，价格能优惠吗
我 维修 商品 这边 怎么 弄,如何预约维修,我 更改 维修 联系 怎么 弄,如何修改维修信息,1.0,我 取消 维修 怎么 弄,怎么取消维修单,0.61,怎么取消维修单
售后 怎么 保障,售后维保地址电话,售后 有 保障,有保修服务吗,1.0,售后 有 保障,有保修服务吗,0.76,有保修服务吗
我 现在 拍 下 问时间 午 那样 能 取 到货,下单多久发货,问时间 拍 问时间 能 到货,什么时候送,1.0,对 我 都 拍 下 勒 问时间 能 到货,什么时候送,0.57,什么时候送
现在 怎么 不 送 免运费 券,运费券怎么领取,能 免运费 不,运费多少,1.0,取消 订单 免运费 券 怎么 没有 返还,退款后多久退优惠券/云钻？,0.5,退款后多久退优惠券/云钻？
我 维修 商品 师傅 联系,如何预约维修,有 维修 师傅 联系,咨询维保进度,1.0,有 维修 师傅 联系,咨询维保进度,0.73,咨询维保进度
券 不能用,券怎么使用,为什么 任性付 分 12 券 不能用,任性付免息券怎么用,1.0,订单 怎么 不能用 券,券怎么不能使用,0.62,券怎么不能使用
能 上门 安装,什么时候上门安装,能 上门 安装,怎么预约安装,1.0,能 上门 安装,怎么预约安装,1.0,怎么预约安装
问时间 248 我 团 没有 拼 成 问时间 268,怎么申请价保,拼团 没有 人 加入 我 团,如果参团人数不足怎么办,1.0,问时间 没有 人参 我 团 算 失败,如果参团人数不足怎么办,0.47,如果参团人数不足怎么办
神 券 能 送 一张 不,在哪里领券,问时间 送 商品 能 不,什么时候送,0.998,一张 券 能 领 几次,同一张优惠券可以领取几次,0.44,同一张优惠券可以领取几次
我 没有 发货,为什么还没送到,我 赠品 工厂 没有 发货,赠品配送问题,1.0,发货 没有,查询送货,0.84,查询送货
能 发 一份 发票 电子版,电子发票怎么下载（无下载按钮怎么办）,我 能 再 打 一份 纸质 发票,电子发票和普通纸质发票怎么互换,1.0,发票 校验码 能 发 下,发票的校验码在哪,0.61,发票的校验码在哪
苹果 能 用 12期 免息券,券怎么使用,苹果 8 p 64g 用 12期 免息券,任性付免息券怎么用,1.0,苹果 手机 用 免息券,免息券为什么无法使用,0.62,免息券为什么无法使用
自提 到 那里 提,自提点在哪,我 自提 我 怎么 提,怎么自提,1.0,自提 怎么 提,怎么自提,0.65,怎么自提
还是 没有 说 物流 时,查询送货动态,物流 时 都 没有,什么时候送,1.0,物流 时 都 没有,什么时候送,0.6,什么时候送
我 退换货,申请退换货,我 退换货,如何申请退货,1.0,我 退换货,如何申请退货,1.0,如何申请退货
商品 质保 问时间 故障 怎么 质保,生产日期和保质期是什么时候的,我 商品 故障 问时间 上门 维修,如何预约维修,1.0,质保 问时间,保修期是多久,0.53,保修期是多久
我 想买 台扇 问时间 能 物流,下单多久发货,我 想买 延期 问时间 发货 能,怎么更改送货时间,1.0,能 告诉 我 问时间 问时间 能 物流,什么时候送,0.63,什么时候送
机器人 用 售后 联系,售后维保,机器人,为什么你不是人,1.0,给我 售后 联系,售后维保地址电话,0.62,售后维保地址电话
有 券 没有,在哪里领券,我 领 券 没有 到账,券怎么没有到账,1.0,我 券 没有 15,已经实名认证，为什么没有返券,0.63,已经实名认证，为什么没有返券
有 人 和 你 拼团 能 取消 订单,更改拼团状态,有 拼团 取消 和 上面 已经 买 人 拼团 能 取消 下,乐拼购可以申请退货么,1.0,有 拼团 取消 和 上面 已经 买 人 拼团 能 取消 下,乐拼购可以申请退货么,0.57,乐拼购可以申请退货么
我 能 撤 拼 单,更改拼团状态,不能 拼 单,为什么拼团失败,1.0,刚才 拼 团 我 不 拼 能 退换货 单,乐拼购可以申请退货么,0.42,乐拼购可以申请退货么
现在 拼团 是 不能 取消,更改拼团状态,我 是 拼团 现在 取消 问地点 弄,乐拼购可以申请退货么,1.0,我 是 拼团 现在 取消 问地点 弄,乐拼购可以申请退货么,0.54,乐拼购可以申请退货么
我 没有 用 10 券 现在 用,券使用规则,我 有 券 现在 延期 用,券过期了能否延期,1.0,我 到 现在 没有 到 10元 券,券怎么没有到账,0.69,券怎么没有到账
风扇 多少 寸,商品的功能及包装参数,风扇 发货了吗,什么时候送,1.0,最低价 多少,有没有活动，价格能优惠吗,0.44,有没有活动，价格能优惠吗
运输 有 保障,如何开通运费险？,商品 是否 能 平躺 运输,冰箱是否可以平躺运输,1.0,海外购 有 保障,海外购有保障么,0.47,海外购有保障么
我 地区 说 缺货,无货商品何时到货,7 p 说 我 所在 地区 缺货,商品是否有货,1.0,7 p 说 我 所在 地区 缺货,商品是否有货,0.77,商品是否有货
麻烦 催 退款,多久了怎么还没退款,能 催 退款,退款什么时候到账,1.0,能 催 退款,退款什么时候到账,0.69,退款什么时候到账
不是 89 怎么 买 是 99,商品价格多少钱,我 昨 天下 养生壶 问时间 买 99 刚 到 现在 89,怎么申请价保,1.0,怎么 是 问时间 不是 问时间 问时间 14 问时间,什么时候送,0.53,什么时候送
你是 自营,商品是自营的么,你是 第三方 不是 自营,送货用什么快递,1.0,你是 第三方 不是 自营,送货用什么快递,0.63,送货用什么快递
买 商品 能 晚 问时间 送,怎么更改送货时间,物流 最 晚 问时间 送,什么时候送,1.0,我 买 商品 问时间 送,查询送货,0.72,查询送货
发票 我 为什么 写 单位 开 个人,发票不清晰、开错发票怎么办,把 发票 单位 发货,发票的开票单位是哪,1.0,发票 抬头 能 写 个人,发票信息是否可以更改,0.54,发票信息是否可以更改
机身 什么 颜色,商品的功能及包装参数,商品 机身 怎么 找 合适 商品,相机如何选择镜头,1.0,魅族pro5 什么 颜色 有货,商品是否有货,0.42,商品是否有货
货 我 已经 到 我 不知道 怎么 签收,在哪确认收货,我 没收到 怎么 已经 签收,为什么未收货却显示送货完成了,1.0,我 货 到 是否 先验 货 再 签收,支持开箱验机吗,0.54,支持开箱验机吗
怎么 到 现在 没有 退款,多久了怎么还没退款,怎么 到 现在 没有 退款,退款什么时候到账,1.0,怎么 到 现在 没有 退款,退款什么时候到账,1.0,退款什么时候到账
发票 他 开 条目 是什么,怎么开发票,怎么 我 开 发票 是什么,我开的什么发票,0.032,我 当时 开 是什么 发票,我开的什么发票,0.69,我开的什么发票
你 发 吸尘器 东西 齐全,商品缺少配件怎么办,我 买 东西 发 错,商品送错或漏送怎么办,1.0,东西 发 哪,查询送货,0.53,查询送货
锅 出现 故障 怎么 处理,申请售后,电源 故障 怎么 处理,如何预约维修,1.0,电源 故障 怎么 处理,如何预约维修,0.57,如何预约维修
我 怎么 看 不 见 物流 动态,订单没有物流信息,你 买 怎么 不 见 物流,什么时候送,1.0,你 买 怎么 不 见 物流,什么时候送,0.46,什么时候送
买 完 越 用 声音 越 大,售后维保地址电话,商品 开启 声音 嗡嗡 嗡 有点 大,如何预约维修,0.9990000000000001,买 流量包 用 完 怎么 扣 费,超出订购流量包使用如何扣费,0.42,超出订购流量包使用如何扣费
问时间 买 比 问时间 便宜,商品价格多少钱,会 比 问时间 便宜,有没有活动，价格能优惠吗,1.0,买 比 便宜 一些,有没有活动，价格能优惠吗,0.65,有没有活动，价格能优惠吗
现在 电饭锅 故障 在 保修期,保修期是多久,我 手机 故障 在 保修期 内,如何预约维修,1.0,我 手机 故障 在 保修期 内,如何预约维修,0.57,如何预约维修
售后 怎么 弄,申请售后,售后 怎么 弄,如何预约维修,1.0,售后 怎么 弄,如何预约维修,1.0,如何预约维修
怎么 贵,商品价格多少钱,怎么 贵,有没有活动，价格能优惠吗,1.0,怎么 贵,有没有活动，价格能优惠吗,1.0,有没有活动，价格能优惠吗
商品 满足 问时间 无理由 退换货 是什么,怎么参加无理由退货,我 是 无理由 退换货,申请退换货,1.0,是 无理由 退换货,申请退换货,0.61,申请退换货
我 买 空调扇 耗电量 怎么,商品的功能及包装参数,空调扇 耗电,空调用电量是多少,1.0,我 延保 怎么 买,延保如何购买,0.46,延保如何购买
通过 到 联系 能 怎么 物流,查询送货动态,怎么 物流 联系,查询送货,1.0,怎么 物流 联系,查询送货,0.72,查询送货
到 怎么 用,商品的功能及包装参数,到 怎么 是 非正品 有 用 痕迹,收到怎么是二手的有使用痕迹,1.0,到 怎么 是 非正品 有 用 痕迹,收到怎么是二手的有使用痕迹,0.53,收到怎么是二手的有使用痕迹
只有 说明书 和 工具 保修卡 没有,商品缺少配件怎么办,商品 怎么 没有 保修卡 和 用 说明书,商品的功能及包装参数,1.0,商品 怎么 没有 保修卡 和 用 说明书,商品的功能及包装参数,0.5,商品的功能及包装参数
微信 能 支付,微信可以支付吗,能 支付宝 微信 支付,支持支付宝或微信支付吗,1.0,微信 能 支付,支持支付宝或微信支付吗,1.0,支持支付宝或微信支付吗
能 用 无 极 券,券使用规则,为什么 不能用 无 门槛 券,券怎么不能使用,1.0,是否 无 门槛 券,券怎么使用,0.54,券怎么使用
为什么 不能 拼团,为什么拼团失败,我 是 最新 版本 为什么 不能 拼团,怎么参加乐拼购,1.0,我 是 最新 版本 为什么 不能 拼团,怎么参加乐拼购,0.53,怎么参加乐拼购
我 是 新会员 不能 开 店 优惠,有没有活动，价格能优惠吗,新会员 什么 优惠,新人券怎么领取,1.0,我 是 新会员 怎么 领 优惠 券,新人券怎么领取,0.41,新人券怎么领取
保修 联系 谁,申请售后,保修 联系 是 多少,售后维保地址电话,1.0,保修 联系 是 多少,售后维保地址电话,0.62,售后维保地址电话
